Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2018-02-24 20:00:00,51.3756865,11.343333333333334,65.97583333333333,1.0316666666666667,53.4282755,20,0.0
2018-02-24 21:00:00,47.707071500000005,11.359166666666667,66.5775,0.7939166666666666,51.3756865,21,0.0
2018-02-24 22:00:00,48.4434165,11.051666666666668,68.00333333333333,0.7571666666666665,47.707071500000005,22,0.0
2018-02-24 23:00:00,47.3482945,10.378333333333332,71.7125,0.7965,48.4434165,23,0.0
2018-02-25 00:00:00,47.2683235,10.395000000000001,72.80833333333332,0.8518333333333333,47.3482945,0,0.0
2018-02-25 01:00:00,44.327532,9.336666666666666,79.12500000000001,0.9925833333333332,47.2683235,1,0.0
2018-02-25 02:00:00,44.439840999999994,7.890000000000001,85.94545454545455,0.7754545454545454,44.327532,2,0.0
2018-02-25 03:00:00,42.184047,7.556153846153846,87.63846153846154,0.799,44.439840999999994,3,0.0
2018-02-25 04:00:00,41.191401500000005,7.730833333333333,85.60833333333333,0.64175,42.184047,4,0.0
2018-02-25 05:00:00,40.909099499999996,7.673333333333332,82.7,1.0550000000000002,41.191401500000005,5,0.0
2018-02-25 06:00:00,40.526943,7.480583333333333,82.325,0.7688333333333334,40.909099499999996,6,0.0
2018-02-25 07:00:00,41.320972,5.89675,88.16666666666667,34.67966666666667,40.526943,7,0.0
2018-02-25 08:00:00,42.5041495,6.554916666666668,85.91666666666667,188.42500000000004,41.320972,8,0.0
2018-02-25 09:00:00,43.123597,7.824166666666667,78.23333333333333,366.09999999999997,42.5041495,9,0.0
2018-02-25 10:00:00,44.616389,9.740833333333333,67.10916666666667,520.4,43.123597,10,0.0
2018-02-25 11:00:00,45.238677,11.388333333333334,61.1875,632.7083333333334,44.616389,11,0.0
2018-02-25 12:00:00,45.407140500000004,14.101666666666668,50.12166666666667,668.8666666666667,45.238677,12,0.0
2018-02-25 13:00:00,45.179245,16.28666666666667,37.34416666666667,662.2416666666667,45.407140500000004,13,0.28666666666666885
2018-02-25 14:00:00,45.264897,16.641666666666666,32.06083333333334,621.5833333333334,45.179245,14,0.6416666666666657
2018-02-25 15:00:00,46.613479,16.7,31.735,342.20000000000005,45.264897,15,0.6999999999999993
2018-02-25 16:00:00,46.5271715,16.731666666666666,33.62916666666667,209.34166666666667,46.613479,16,0.7316666666666656
